Locale,Tag,Environment,appinfra.localtesting,appinfra.localtesting.kindex,userreg.janrain.cdn,userreg.janrain.cdn.kindex,userreg.janrain.api,userreg.landing.emailverif,userreg.landing.resetpass,userreg.landing.myphilips,userreg.hsdp.userserv,userreg.smssupported,userreg.urx.verificationsmscode,cc.cdls,cc.atos,cc.emailformurl,cc.productreviewurl,cc.prx.category,prxclient.assets,prxclient.summary,prxclient.support
ar_RW,apps++env+acc,Acceptance,testing,https://philips.com/0,https://d1lqe9temigv1p.cloudfront77001.net,https://philips.com/0,https://philips.eval.janraincapture.com,https://acc.mea.philips.com/c-w/verify-account.html,https://acc.mea.philips.com/myphilips/reset-password.html?cl=mob,https://acc.mea.philips.com/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/ar_RW/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=rw&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.com.sa/content/%productSector%/ar_RW/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.com.sa%productReviewURL%.reviewandawards,https://www.philips.com/prx/category/%productSector%/ar_RW/%productCatalog%/%productSubcategory%.json,https://acc.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.assets,https://acc.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.summary,https://acc.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.support
ar_RW,apps++env+dev,Development,testing,https://philips.com/1,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/1,https://philips.dev.janraincapture.com,http://10.128.41.111:4503/content/B2C/ar_RW/verify-account.html,http://10.128.41.111:4503/content/B2C/ar_RW/myphilips/reset-password.html?cl=mob,http://10.128.41.111:4503/content/B2C/ar_RW/myphilips/login.html,https://user-registration-assembly-testing.us-east.philips-healthsuite.com,,,https://www.philips.com/prx/cdls/%productSector%/ar_RW/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=rw&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.com.sa/content/%productSector%/ar_RW/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.com.sa%productReviewURL%.reviewandawards,https://www.philips.com/prx/category/%productSector%/ar_RW/%productCatalog%/%productSubcategory%.json,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.assets,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.summary,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.support
ar_RW,apps++env+prod,Production,testing,https://philips.com/2,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/2,https://philips.janraincapture.com,https://www.mea.philips.com/c-w/verify-account.html,https://www.mea.philips.com/myphilips/reset-password.html?cl=mob,https://www.mea.philips.com/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/ar_RW/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=rw&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.com.sa/content/%productSector%/ar_RW/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.com.sa%productReviewURL%.reviewandawards,https://www.philips.com/prx/category/%productSector%/ar_RW/%productCatalog%/%productSubcategory%.json,https://www.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.assets,https://www.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.summary,https://www.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.support
ar_RW,apps++env+stage,Staging,testing,https://philips.com/3,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/3,https://philips.eval.janraincapture.com,https://dev.mea.philips.com/c-w/verify-account.html,https://dev.mea.philips.com/myphilips/reset-password.html?cl=mob,https://dev.mea.philips.com/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/ar_RW/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=rw&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.com.sa/content/%productSector%/ar_RW/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.com.sa%productReviewURL%.reviewandawards,https://www.philips.com/prx/category/%productSector%/ar_RW/%productCatalog%/%productSubcategory%.json,https://dev.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.assets,https://dev.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.summary,https://dev.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.support
ar_RW,apps++env+test,Testing,testing,https://philips.com/0,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/0,https://philips-test.dev.janraincapture.com,https://tst.mea.philips.com/c-w/verify-account.html,https://tst.mea.philips.com/myphilips/reset-password.html?cl=mob,https://tst.mea.philips.com/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/ar_RW/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=rw&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.com.sa/content/%productSector%/ar_RW/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.com.sa%productReviewURL%.reviewandawards,https://www.philips.com/prx/category/%productSector%/ar_RW/%productCatalog%/%productSubcategory%.json,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.assets,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.summary,https://tst.philips.com/prx/product/%sector%/ar_RW/%catalog%/products/%ctn%.support
bg_BG,apps++env+acc,Acceptance,testing,https://philips.com/3,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/3,https://philips.eval.janraincapture.com,https://acc.philips.bg/c-w/verify-account.html,https://acc.philips.bg/myphilips/reset-password.html?cl=mob,https://acc.philips.bg/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/bg_BG/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=bg&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.bg/content/%productSector%/bg_BG/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.bg%productReviewURL%/reviewandawards,https://www.philips.com/prx/category/%productSector%/bg_BG/%productCatalog%/%productSubcategory%.json,https://acc.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.assets,https://acc.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.summary,https://acc.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.support
bg_BG,apps++env+dev,Development,testing,https://philips.com/0,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/0,https://philips.dev.janraincapture.com,http://10.128.41.111:4503/content/B2C/bg_BG/verify-account.html,http://10.128.41.111:4503/content/B2C/bg_BG/myphilips/reset-password.html?cl=mob,http://10.128.41.111:4503/content/B2C/bg_BG/myphilips/login.html,https://user-registration-assembly-testing.us-east.philips-healthsuite.com,,,https://www.philips.com/prx/cdls/%productSector%/bg_BG/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=bg&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.bg/content/%productSector%/bg_BG/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.bg%productReviewURL%/reviewandawards,https://www.philips.com/prx/category/%productSector%/bg_BG/%productCatalog%/%productSubcategory%.json,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.assets,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.summary,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.support
bg_BG,apps++env+prod,Production,testing,https://philips.com/0,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/0,https://philips.janraincapture.com,https://www.philips.bg/c-w/verify-account.html,https://www.philips.bg/myphilips/reset-password.html?cl=mob,https://www.philips.bg/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/bg_BG/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=bg&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.bg/content/%productSector%/bg_BG/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.bg%productReviewURL%/reviewandawards,https://www.philips.com/prx/category/%productSector%/bg_BG/%productCatalog%/%productSubcategory%.json,https://www.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.assets,https://www.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.summary,https://www.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.support
bg_BG,apps++env+stage,Staging,testing,https://philips.com/4,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/4,https://philips.eval.janraincapture.com,https://dev.philips.bg/c-w/verify-account.html,https://dev.philips.bg/myphilips/reset-password.html?cl=mob,https://dev.philips.bg/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/bg_BG/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=bg&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.bg/content/%productSector%/bg_BG/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.bg%productReviewURL%/reviewandawards,https://www.philips.com/prx/category/%productSector%/bg_BG/%productCatalog%/%productSubcategory%.json,https://dev.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.assets,https://dev.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.summary,https://dev.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.support
bg_BG,apps++env+test,Testing,testing,https://philips.com/5,https://d1lqe9temigv1p.cloudfront.net,https://philips.com/0,https://philips-test.dev.janraincapture.com,https://tst.philips.bg/c-w/verify-account.html,https://tst.philips.bg/myphilips/reset-password.html?cl=mob,https://tst.philips.bg/myphilips/login.html,,,,https://www.philips.com/prx/cdls/%productSector%/bg_BG/%productCatalog%/%productCategory%.querytype.(fallback),"https://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=bg&type=servicers&sid=cp-dlr&output=json""ttps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&subcategory=%productSubCategory%&country=""tps://www.philips.com/search/search?q=""&lat=%lattitude%&lng=%longitude%&su""ps://www.philips.com/search/search?q",https://www.philips.bg/content/%productSector%/bg_BG/support-home/support-contact-form-mrs.html?param1=%productCategory%&origin=15_global_en_%appName%-app_%appName%-app,https://www.philips.bg%productReviewURL%/reviewandawards,https://www.philips.com/prx/category/%productSector%/bg_BG/%productCatalog%/%productSubcategory%.json,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.assets,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.summary,https://tst.philips.com/prx/product/%sector%/bg_BG/%catalog%/products/%ctn%.support
