Shanghai;101020100;shanghai;上海;
Beijing;101010100;beijing;北京;
Tianjin;101030100;tianjin;天津;
Wuhan;101200101;wuhan;武汉;
Shenyang;101070101;shenyang;沈阳;
Guangzhou;101280101;guangzhou;广州;
Harbin;101050101;haerbin;哈尔滨;
Xian;101110101;xian;西安;
Chongqing;101040100;chongqing;重庆;
Kowloon;101320102;jiulong;九龙;
Chengdu;101270101;chengdu;成都;
Changchun;101060101;changchun;长春;
Taiyuan;101100101;taiyuan;太原;
Nanjing;101190101;nanjing;南京;
Jinan;101120101;jinan;济南;
Dalian;101070201;dalian;大连;
Qingdao;101120201;qingdao;青岛;
Lanzhou;101160101;lanzhou;兰州;
Fushun;101070401;fushun;抚顺;
Zhengzhou;101180101;zhengzhou;郑州;
Changsha;101250101;changsha;长沙;
Datong;101100201;datong;大同;
Anshan;101070301;anshan;鞍山;
Hangzhou;101210101;hangzhou;杭州;
Shijiazhuang;101090101;shijiazhuang;石家庄;
Guiyang;101260101;guiyang;贵阳;
Hong Kong;101320101;hongkong;香港;
Jilin;101060201;jilin;吉林;
Urumqi;101130101;wulumuqi;乌鲁木齐;
Shenzhen;101280601;shenzhen;深圳;
Nanchang;101240101;nanchang;南昌;
Fuzhou;101230101;fuzhou;福州;
Nanning;101300101;nanning;南宁;
Xuzhou;101190801;xuzhou;徐州;
Kunming;101290101;kunming;昆明;
Tangshan;101090501;tangshan;唐山;
Luoyang;101180901;luoyang;洛阳;
Wuxi;101190201;wuxi;无锡;
Hefei;101220101;hefei;合肥;
Shantou;101280501;shantou;汕头;
Qiqihar;101050201;qiqihaer;齐齐哈尔;
Benxi;101070501;benxi;本溪;
Suzhou;101190401;suzhou;苏州;
Liuzhou;101300301;liuzhou;柳州;
Hohhot;101080101;huhehaote;呼和浩特;
Xining;101150101;xining;西宁;
Baotou;101080201;baotou;包头;
Huangshi;101200601;huangshi;黄石;
Jinzhou;101070701;jinzhou;锦州;
Fuxin;101070901;fuxin;阜新;
Hegang;101051201;hegang;鹤岗;
Handan;101091001;handan;邯郸;
Yingkou;101070801;yingkou;营口;
Kaifeng;101180801;kaifeng;开封;
Mudanjiang;101050301;mudanjiang;牡丹江;
Hengyang;101250401;hengyang;衡阳;
Liaoyang;101071001;liaoyang;辽阳;
Baoding;101090201;baoding;保定;
Anyang;101180201;anyang;安阳;
Changzhou;101191101;changzhou;常州;
Xinxiang;101180301;xinxiang;新乡;
Dandong;101070601;dandong;丹东;
Bengbu;101220201;bengbu;蚌埠;
Wuhu;101220301;wuhu;芜湖;
Jiamusi;101050401;jiamusi;佳木斯;
Tuanmun;101320103;xinjie;新界;
Pingdingshan;101180501;pingdingshan;平顶山;
Xiangtan;101250201;xiangtan;湘潭;
Zhuzhou;101250301;zhuzhou;株洲;
Yichang;101200901;yichang;宜昌;
Aomen;101330101;macao;澳门;
Panzhihua;101270201;panzhihua;攀枝花;
Guilin;101300501;guilin;桂林;
Xiangfan;101200201;xiangyang;襄阳;
Ningbo;101210401;ningbo;宁波;
Xiamen;101230201;xiamen;厦门;
Wenzhou;101210701;wenzhou;温州;
Jiaozuo;101181101;jiaozuo;焦作;
Zhanjiang;101281001;zhanjiang;湛江;
Changzhi;101100501;changzhi;长治;
Panjin;101071301;panjin;盘锦;
Yantai;101120501;yantai;烟台;
Tanggu;101031100;tanggu;塘沽;
Haikou;101310101;haikou;海口;
Zhangjiakou;101090301;zhangjiakou;张家口;
Maanshan;101220501;maanshan;马鞍山;
Yangquan;101100301;yangquan;阳泉;
Shiyan;101201101;shiyan;十堰;
Liaoyuan;101060701;liaoyuan;辽源;
Xianyang;101110200;xianyang;咸阳;
Baoji;101110901;baoji;宝鸡;
Qitaihe;101051002;qitaihe;七台河;
Dongguan;101281601;dongguan;东莞;
Xingtai;101090901;xingtai;邢台;
Siping;101060401;siping;四平;
Shashi;101201406;shashi;沙市;
Anqing;101220601;anqing;安庆;
Yangzhou;101190601;yangzhou;扬州;
Taian;101120801;taian;泰安;
Weifang;101120601;weifang;潍坊;
Zhenjiang;101190301;zhenjiang;镇江;
Jingdezhen;101240801;jingdezhen;景德镇;
